,NSSEC1_change_pct,Highest_Level_change_pct,inc_change_pct,hse_change,white_change_pct,scenario1_PCA1,scenario1_PCA2,scenario1_PCA3,scenario1_PCA_total,scenario1_PCA_total_zscore,scenario1_status,LSOA21CD
68,0.7017594049492205,0.7420543528327959,0.4817813765182185,0.2775543490403735,0.4577898810376953,0.3296594432296914,0.3569054988501801,0.1352607340284171,0.8218256761082885,5.556590685451431,ascent,E01034193
69,0.6748676870261765,0.7351450944265314,0.5706120504882114,0.260573764997654,0.3877024509101332,0.2935621943103786,0.4013106404844827,0.0365039998199962,0.7313768346148575,4.945041053013264,ascent,E01034191
70,0.5179516521241596,0.5032243205895901,0.5706120504882114,0.260573764997654,0.5545363336677656,0.1763014139535312,0.1021044792349882,-0.0051761743755204,0.27322971881299896,1.8473816950260065,ascent,E01034192
72,0.4221141467601201,0.5152003684937816,0.4796380090497737,0.2545411890877405,0.5109645979647413,0.0890706908101896,0.1014034707619486,0.0728610194105695,0.2633351809827077,1.7804819882597278,ascent,E01035641
74,0.5374052353025318,0.6190695532012898,0.6863538937842343,0.2241548808007686,0.6376666188906407,0.3312855137875015,0.096855971922172,-0.0811210594556942,0.3470204262539793,2.346301076057119,ascent,E01035644
75,0.5690173079673867,0.5902809765085214,0.5877589902357704,0.2493911566905735,0.6160240791170991,0.2925997851962816,0.1119517119534142,0.0082730284824396,0.4128245256321354,2.7912207911488665,ascent,E01035642
78,0.564439994278358,0.6345002303086136,0.5248868778280542,0.2354380320396809,0.6673355310305289,0.3300044199792571,0.0863357266544223,0.0837812425363636,0.500121389170043,3.3814590288988704,ascent,E01035649
80,0.746674295522815,0.8189774297558728,0.5620385806144319,0.2298523136045758,0.720223591801634,0.5677643317292302,0.1993011316366046,0.1078593779703931,0.8749248413362279,5.915608826996983,ascent,E01035647
81,0.5984837648405092,0.2959465684016582,0.7292212431531316,0.3351319346694372,0.4811523577468827,0.091996602871121,0.1080249918703833,-0.2028883374016747,-0.002866742660170396,-0.019382839969811196,ascent,E01035484
82,0.5660134458589616,0.5092123445416858,0.7292212431531316,0.3351319346694372,0.4069084133581769,0.162413103585212,0.2495631815294497,-0.1657712839313009,0.24620500118336078,1.6646601050059644,ascent,E01035485
83,0.4947790015734515,0.3818516812528789,0.4808287687544653,0.263925196058717,0.6044145048014907,0.0981542800486192,-0.0036140232091869,0.0585002491334992,0.1530405059729315,1.0347491867288825,ascent,E01035487
84,0.5927621227292232,0.5412252418240442,0.4808287687544653,0.263925196058717,0.4619463952988392,0.1578616387178679,0.2203815668035214,0.0830102792963533,0.4612534848177426,3.1186623780206233,ascent,E01035486
85,0.5189529394936346,0.4060340856748042,0.6249106930221481,0.2569989051991867,0.7841479145764656,0.2655095741716744,-0.123277830866024,-0.0506977927598985,0.09153395054575192,0.6188863548455,ascent,E01033943
88,0.5949077385209556,0.5211883924458774,0.5899023577042153,0.2672766271197801,0.4126415364769959,0.1462494803722033,0.2551615530837282,-0.0320992439504512,0.36931178950548027,2.497019148040287,ascent,E01034590
90,0.4425690173079674,0.4180101335789958,0.4358180519171231,0.2361083182518935,0.4348573885624194,-0.0169439356981056,0.1252707440428169,0.0830541716779049,0.19138098002261622,1.2939797354617,ascent,E01034596
92,0.51065655843227,0.4963150621833255,0.4358180519171231,0.2361083182518935,0.5208542353447041,0.1127530835870995,0.1182457877685541,0.1160319089648275,0.3470307803204811,2.346371082764324,ascent,E01034598
94,0.5095122300100129,0.4187010594196222,0.5010716837342224,0.2463860401724869,0.2395012182886628,-0.0812972254426363,0.3109895119842374,0.0009731704414505,0.23066545698305163,1.5595929489534914,ascent,E01034594
99,0.5501358890001431,0.4304467987102717,0.344605858537747,0.2231494514824496,0.372223018489322,-0.0193869501796799,0.2205238895965673,0.1713531117153302,0.37249005113221756,2.518508253898704,ascent,E01033786
100,0.5701616363896438,0.3795485951174574,0.344605858537747,0.2231494514824496,0.2346280636376665,-0.1209241327270231,0.3160684497495922,0.1436860288960978,0.3388303459186669,2.2909256778098888,ascent,E01033787
103,0.5691603490201689,0.5066789497927222,0.3998571088354369,0.2242670420269455,0.2771965027948976,-0.0053945362079639,0.3398244465489872,0.1249595993278956,0.4593895096689189,3.1060595265267232,ascent,E01033785
105,0.6890287512516091,0.5771533855366191,0.4212907835198856,0.2290703130236611,0.6379532750465815,0.3100364781799896,0.1305139795831016,0.1738837017891059,0.6144341595521972,4.154359284512117,ascent,E01034613
106,0.6166499785438422,0.4806540764624596,0.6656346749226005,0.2364434613579998,0.6518560986097177,0.2887838013818723,0.0551659500263168,-0.0849450011075969,0.2590047503005922,1.7512027487667707,ascent,E01034616
111,0.47203547418109,0.4060340856748042,0.5003572279114075,0.2603503362602498,0.2959724810090297,-0.0729897718812642,0.2457186781298182,0.0046319229820977,0.17736082923065172,1.1991856184560525,ascent,E01034602
