,NSSEC1_change_pct,Highest_Level_change_pct,hse_change,white_change_pct,scenarios_2_PCA1,scenarios_2_PCA2,scenarios_2_PCA_total,scenarios_2_PCA_total_zscore,scenarios_2_status,LSOA21CD
1387,0.3691889572307252,0.4601566098572086,0.2477266125969122,0.5314605131145191,0.0545051455815745,0.0410717677906449,0.09557691337221941,0.7514210927055072,ascent,E01001101
1397,0.4447146330996996,0.327038231229848,0.2318520008043434,0.6484162247384262,0.0763266598746924,-0.0826742257626979,-0.006347565888005488,-0.04990425749584453,ascent,E01001111
1398,0.4494349878415105,0.341317365269461,0.2261657394374064,0.6575892217285366,0.0927092092617484,-0.0818403868497033,0.010868822412045107,0.08545015867456245,ascent,E01001112
1421,0.4847661278787012,0.3910640257945647,0.2270594543870232,0.6405331804500501,0.1308275825454111,-0.0315664735993327,0.0992611089460784,0.7803860609826118,ascent,E01001136
1422,0.4122443141181519,0.3977429755872869,0.2421408941618071,0.6262003726530028,0.0926711107819586,-0.045571012342472,0.04710009843948659,0.37029870694927774,ascent,E01001137
1424,0.4005149477900158,0.3385536619069553,0.2488437562839332,0.6290669342124123,0.051950085356831,-0.0790879446147824,-0.027137859257951397,-0.2133565433096027,ascent,E01001139
1425,0.4458589615219567,0.4173192077383693,0.226836025649619,0.6686254837322632,0.1456438707854577,-0.0576115341025867,0.088032336682871,0.6921059939030124,ascent,E01001140
1426,0.3852095551423258,0.3846153846153846,0.245380610854168,0.6130141894797191,0.0636746738688735,-0.0517150950678469,0.011959578801026605,0.09402563290537416,ascent,E01001141
1427,0.4387069088828493,0.3311837862736066,0.2432356949750876,0.661029095599828,0.0845491224598725,-0.0927947227109134,-0.008245600251040888,-0.06482651230344968,ascent,E01001142
1428,0.4527249320555,0.3574389682174113,0.2414706079495944,0.632936792317615,0.0907323881970346,-0.0530089976182317,0.0377233905788029,0.2965794810603276,ascent,E01001143
1429,0.4894864826205121,0.3788576692768309,0.2253837388564917,0.6350867134871722,0.121978291503039,-0.0309359936409426,0.0910422978620964,0.7157701638211854,ascent,E01001144
1430,0.4382777857245029,0.3604329801934592,0.217005161203834,0.5839185896517127,0.0541735451623882,-0.0193802979145648,0.0347932472478234,0.27354283522333894,ascent,E01001145
