LSOA21CD,area_m2_2021
E01000904,116206
E01000905,85638.8
E01000906,141445
E01000907,105735
E01000908,172914
E01000909,225801
E01000910,129614
E01000911,87885
E01000912,902670
E01000913,1613960
E01000914,447991
E01000915,74080.8
E01000916,147504
E01000917,74790.4
E01000918,166579
E01000919,149923
E01000920,136013
E01000921,124011
E01000922,191075
E01000923,85431.9
E01000924,97524.4
E01000925,81927.6
E01000926,93223.7
E01000927,102466
E01000928,254328
E01000929,96003.1
E01000930,117315
E01000931,147133
E01000932,66714
E01000933,107885
E01000934,88480
E01000935,62888.8
E01000937,126055
E01000938,81454.9
E01000939,77047.3
E01000941,44930.8
E01000942,73111.1
E01000943,70606.3
E01000944,57492.7
E01000946,482884
E01000947,155159
E01000948,200420
E01000949,61245.1
E01000951,49223.7
E01000952,85643.5
E01000954,53910.7
E01000955,63289.2
E01000956,160099
E01000957,116133
E01000958,241671
E01000959,72977.8
E01000960,115287
E01000961,120812
E01000962,95255.3
E01000963,191720
E01000964,123954
E01000965,109996
E01000966,129083
E01000967,373865
E01000968,80956.6
E01000969,167888
E01000970,67945.9
E01000971,82011.5
E01000972,142217
E01000973,232530
E01000974,114203
E01000975,187283
E01000976,163834
E01000977,168118
E01000978,157277
E01000979,135205
E01000980,147157
E01000981,171461
E01000982,135492
E01000983,157133
E01000984,170351
E01000985,390417
E01000986,323561
E01000987,162690
E01000989,260825
E01000990,166048
E01000991,445971
E01000992,491920
E01000993,161001
E01000994,177829
E01000995,143991
E01000996,103949
E01000997,105749
E01000998,141944
E01000999,96642.8
E01001000,136535
E01001001,121474
E01001002,107358
E01001003,159363
E01001004,154327
E01001005,91650.9
E01001006,291060
E01001007,150502
E01001008,186456
E01001009,113787
E01001010,724720
E01001011,125520
E01001012,144642
E01001013,196507
E01001015,404901
E01001016,1048110
E01001017,1339780
E01001018,950379
E01001019,592988
E01001020,366021
E01001021,2046290
E01001022,987682
E01001023,567020
E01001024,285316
E01001025,227101
E01001026,275233
E01001027,1444810
E01001028,868730
E01001029,497807
E01001030,415923
E01001031,406001
E01001032,651851
E01001033,298916
E01001034,295769
E01001035,220283
E01001036,840726
E01001037,157268
E01001038,202714
E01001039,459755
E01001040,191868
E01001041,196776
E01001042,208679
E01001044,448120
E01001046,196947
E01001047,184507
E01001049,1389360
E01001050,154200
E01001051,251540
E01001052,161029
E01001053,224443
E01001054,253782
E01001055,292888
E01001056,158775
E01001057,136091
E01001058,196692
E01001059,185639
E01001060,1503280
E01001061,454302
E01001062,1239600
E01001063,322377
E01001064,3472040
E01001065,1171440
E01001066,161621
E01001067,682258
E01001068,762232
E01001069,403231
E01001070,535469
E01001071,751281
E01001072,2162740
E01001073,306123
E01001074,408217
E01001075,445548
E01001076,345338
E01001077,177733
E01001078,376961
E01001079,293509
E01001080,219774
E01001081,456931
E01001082,562444
E01001083,325118
E01001084,596223
E01001085,182085
E01001086,225304
E01001087,373633
E01001088,155933
E01001089,157595
E01001090,181495
E01001091,319455
E01001092,586013
E01001093,401509
E01001094,1171250
E01001095,244587
E01001096,390971
E01001097,440708
E01001098,483311
E01001099,215336
E01001100,244554
E01001101,547505
E01001102,646690
E01001103,733108
E01001104,1694740
E01001105,992295
E01001106,426567
E01001107,763064
E01001108,537941
E01001109,474744
E01001110,152949
E01001111,200560
E01001112,357829
E01001113,176106
E01001114,181431
E01001115,220221
E01001116,154537
E01001118,185953
E01001119,692480
E01001120,306798
E01001121,2197110
E01001122,1236210
E01001123,744630
E01001124,599569
E01001125,387246
E01001126,223853
E01001127,329052
E01001128,223083
E01001129,288927
E01001130,138110
E01001131,161601
E01001132,432714
E01001133,400429
E01001134,372725
E01001135,453856
E01001136,278761
E01001137,357970
E01001138,260527
E01001139,182720
E01001140,353658
E01001141,152478
E01001142,314603
E01001143,220524
E01001144,120208
E01001145,140228
E01001146,132376
E01001147,200776
E01001148,141664
E01001149,140875
E01001150,273938
E01001151,165776
E01001152,173742
E01001153,140267
E01001154,178102
E01001155,135697
E01001156,278486
E01001157,335980
E01001158,207202
E01001159,402356
E01001160,318650
E01001161,295354
E01001162,314249
E01001163,280075
E01001164,187466
E01001165,186130
E01001166,173269
E01001167,570730
E01001168,223223
E01001169,227041
E01001170,253939
E01001171,296853
E01001172,695368
E01001173,1024750
E01001174,231983
E01001175,149912
E01001176,252960
E01001177,292928
E01001178,181286
E01001179,111979
E01001180,154143
E01001181,143493
E01001182,128471
E01001183,135456
E01001184,186178
E01001185,198394
E01001186,179552
E01001187,163752
E01001188,188529
E01001189,118704
E01001190,250954
E01001191,158585
E01001192,186734
E01001193,181460
E01001194,542033
E01001195,413956
E01001196,230623
E01001197,404542
E01001198,108400
E01001199,104982
E01001200,135278
E01001201,123950
E01001202,161686
E01001203,91166.6
E01001204,167379
E01001205,248418
E01001206,153531
E01001207,159112
E01001208,533447
E01001209,276175
E01001210,229056
E01001211,181800
E01001212,286811
E01001213,149616
E01001214,232867
E01001215,173961
E01001216,143352
E01001217,186602
E01001218,274451
E01001219,165120
E01001220,939636
E01001223,225141
E01001224,238079
E01001225,232713
E01001226,226280
E01001227,172004
E01001228,267593
E01001229,202674
E01001230,192519
E01001231,401138
E01001232,213014
E01001233,171229
E01001234,302433
E01001235,272452
E01001236,139565
E01001237,242428
E01001239,414016
E01001240,195124
E01001241,352566
E01001242,206273
E01001243,219515
E01001244,213984
E01001245,112497
E01001246,1012830
E01001247,1141580
E01001248,667189
E01001249,155366
E01001250,247128
E01001251,188147
E01001252,196497
E01001253,162541
E01001254,208685
E01001255,175384
E01001257,165894
E01001258,208115
E01001259,261040
E01001260,266455
E01001261,432710
E01001262,256822
E01001263,327795
E01001264,306705
E01001265,498616
E01001266,735814
E01001267,383377
E01001268,301507
E01001269,286689
E01001270,283188
E01001271,340117
E01001272,550608
E01001273,392470
E01001274,266251
E01001275,344596
E01001276,359494
E01001277,548397
E01001278,453597
E01001279,252464
E01001280,365066
E01001281,288913
E01001282,148787
E01001283,258393
E01001284,474018
E01001285,216241
E01001286,210023
E01001287,91688.2
E01001288,172611
E01001289,120622
E01001290,506023
E01001291,163880
E01001292,188622
E01001293,144018
E01001294,297240
E01001295,161997
E01001296,158160
E01001297,251876
E01001298,175340
E01001299,227320
E01001300,136605
E01001301,249764
E01001302,334977
E01001303,162090
E01001304,115988
E01001305,150471
E01001306,155026
E01001307,577303
E01001308,1110010
E01001309,336028
E01001310,234211
E01001311,322315
E01001312,208469
E01001313,172919
E01001314,289435
E01001315,167257
E01001316,178328
E01001317,337719
E01001318,254658
E01001319,140018
E01001320,462693
E01001321,335651
E01001322,546449
E01001323,337974
E01001324,318310
E01001325,943483
E01001326,735045
E01001327,277856
E01001328,381930
E01001329,304002
E01001330,299535
E01001331,142591
E01001332,133819
E01001333,276880
E01001334,157378
E01001335,489583
E01001336,252218
E01001337,1221440
E01001338,553888
E01001339,726250
E01001340,119840
E01001341,229731
E01001342,186586
E01001343,288635
E01001344,484323
E01001345,181549
E01001346,225004
E01001347,674364
E01001348,412551
E01001349,677230
E01001350,298855
E01001351,200479
E01001352,159132
E01001353,191975
E01001354,268910
E01001355,144615
E01001356,83373.3
E01001357,113390
E01001358,261068
E01001359,135388
E01001360,140993
E01001361,380954
E01001362,246462
E01001363,132759
E01001364,119076
E01001365,465203
E01001366,169151
E01001367,206027
E01001368,128649
E01001369,152631
E01001370,449046
E01001371,198268
E01001372,128412
E01001373,151978
E01001374,129394
E01001375,139945
E01001376,155063
E01001377,192461
E01001379,131193
E01001380,176291
E01001381,285559
E01001382,209377
E01001383,115499
E01001384,108442
E01001385,157830
E01001386,307804
E01001387,249369
E01001388,175779
E01001389,143031
E01001390,151452
E01001391,133207
E01001392,160712
E01001393,178137
E01001394,172299
E01001395,240864
E01001396,147299
E01001397,303998
E01001398,177278
E01001399,237896
E01001400,247830
E01001401,142671
E01001402,349650
E01001403,372294
E01001404,520532
E01001405,278922
E01001406,203864
E01001407,1031250
E01001408,144564
E01001409,189909
E01001410,157419
E01001411,184294
E01001412,14304600
E01001413,511786
E01001414,391880
E01001415,1085460
E01001416,327659
E01001417,5690950
E01001418,629181
E01001419,665566
E01001420,355278
E01001421,190883
E01001422,1468220
E01001423,193607
E01001424,69582
E01001425,401928
E01001426,307139
E01001427,1357270
E01001428,157801
E01001429,243934
E01001430,117810
E01001431,133362
E01001432,155215
E01001433,338056
E01001434,178323
E01001435,154234
E01001436,194728
E01001437,2630080
E01001438,277001
E01001439,209489
E01001440,314089
E01001441,335269
E01001442,115199
E01001444,346062
E01001445,1419230
E01001446,180628
E01001447,187331
E01001448,157358
E01001449,233935
E01001450,359716
E01001451,619792
E01001452,632114
E01001453,519255
E01001454,377580
E01001455,236577
E01001456,263510
E01001457,265121
E01001458,161693
E01001459,220408
E01001460,121568
E01001461,289137
E01001462,109586
E01001463,257617
E01001464,204090
E01001465,230693
E01001466,99293.6
E01001467,106336
E01001468,790013
E01001469,223933
E01001470,1896490
E01001471,364076
E01001472,251983
E01001473,840018
E01001474,382962
E01001475,335043
E01001476,200560
E01001477,1131160
E01001478,311939
E01001479,245381
E01001480,201113
E01001481,171493
E01001482,173068
E01001483,1146410
E01001484,330031
E01001485,127220
E01001486,177245
E01001487,128625
E01001488,131752
E01001489,181470
E01001491,149105
E01001492,152696
E01001493,232234
E01001494,162919
E01001495,155184
E01001496,258259
E01001497,205404
E01001498,192165
E01001499,207640
E01001500,223012
E01001501,302814
E01001502,280013
E01001503,173847
E01001504,179144
E01001505,194145
E01001507,269734
E01001508,206315
E01001509,147417
E01001511,387466
E01001512,192012
E01001513,951624
E01001514,136449
E01001515,130783
E01001516,322041
E01001517,181927
E01001518,560338
E01001520,348513
E01001521,480363
E01001522,204877
E01001523,518035
E01001524,256519
E01001525,237376
E01001526,285422
E01001527,388332
E01001528,204206
E01001529,167002
E01001530,204930
E01001531,233340
E01001532,290715
E01001533,327822
E01001534,405134
E01001535,398676
E01001536,434417
E01001537,185478
E01001538,257269
E01001539,220618
E01001540,262283
E01001541,178315
E01001542,184274
E01001543,208145
E01001544,303613
E01001545,341513
E01001546,241147
E01001547,250458
E01001548,299341
E01001549,320691
E01001550,220977
E01001551,302607
E01001552,279180
E01001553,192883
E01001554,117781
E01001555,142055
E01001556,212391
E01001557,126372
E01001558,150159
E01001559,924267
E01001560,268828
E01001562,140518
E01001563,197771
E01001564,227513
E01001565,222736
E01001566,197538
E01001567,312603
E01001568,893876
E01001569,296482
E01001570,409219
E01001571,148629
E01001572,167113
E01001573,138290
E01001574,1006720
E01001575,220352
E01001576,240438
E01001577,209079
E01001578,271946
E01001579,253540
E01001580,301638
E01001581,205860
E01001582,342145
E01001583,290471
E01001584,327622
E01001585,182828
E01001586,211215
E01001587,271019
E01001588,517854
E01001589,211443
E01001590,153278
E01001591,202627
E01001592,243599
E01001593,184418
E01001594,148665
E01001595,376168
E01001596,290692
E01001597,322486
E01001598,463906
E01001599,459318
E01001600,301688
E01001601,247258
E01001602,256909
E01001603,208815
E01001604,241360
E01001605,664538
E01001606,213280
E01001607,207324
E01001608,464635
E01001609,335678
E01001610,222079
E01001611,203619
E01001613,731640
E01001614,887220
E01001615,950356
E01001617,695417
E01001618,347108
E01001619,318982
E01001620,263561
E01001621,366170
E01001623,274595
E01001624,221298
E01001625,268051
E01001629,209315
E01001631,193345
E01001632,121380
E01001633,115262
E01001634,117148
E01001635,210435
E01001636,121160
E01001637,184484
E01001638,106954
E01001641,365975
E01001642,1194020
E01001644,188762
E01001645,283915
E01001646,213089
E01001647,350933
E01001648,414516
E01001649,332201
E01001650,206313
E01001651,308965
E01001652,263537
E01001653,265747
E01001654,294980
E01001655,440284
E01001656,281441
E01001657,401827
E01001658,436036
E01001659,375648
E01001660,333574
E01001661,451925
E01001664,154234
E01001665,187528
E01001666,436284
E01001669,501849
E01001671,193885
E01001672,361235
E01001673,175145
E01001674,212050
E01001675,156471
E01001676,132414
E01001677,204322
E01001678,265176
E01001679,214038
E01001680,607369
E01001681,155522
E01001682,879208
E01001683,137999
E01001684,1178980
E01001685,176141
E01001686,172236
E01001687,414720
E01001688,358115
E01001690,134357
