OBJECTID,FID_gen_lo,LSOA21CD,gen,FID_gwr_ov,Observed,Cond,LocalR2,Predicted,Intercept,park_density,density_airbnb,NSSES_1_and_2_change_pct,NSSES_3_change_pct,NSSES_4_change_pct,NSSES_5_change_pct,NSSES_6_change_pct,NSSES_7_change_pct,converted_or_share_house_change_pct,average_chn_11_19,Resident_in_UK_4_and_Less_change_pct,1_car_or_van_in_household_change_pct,2_cars_or_vans_in_household_change_pct,income_score_change,compared_mean_price_2011,Residual,StdError,StdErr_Int,StdErrC1_p,StdErrC2_d,StdErrC3_N,StdErrC4_N,StdErrC5_N,StdErrC6_N,StdErrC7_N,StdErrC8_N,StdErrC9_c,StdErrC10_,StdErrC11_,StdErrC12_,StdErrC13_,StdErrC14_,StdErrC15_,StdResid,Source_ID,Shape_Leng,Shape_Area
28.00 ,711.00 ,E01000742,1.00 ,711.00 ,0.10 ,4.05 ,0.36 ,0.09 ,-0.13 ,0.01 ,0.07 ,0.24 ,0.02 ,-0.06 ,-0.02 ,-0.01 ,0.02 ,0.07 ,-0.02 ,0.06 ,-0.01 ,0.02 ,0.02 ,0.03 ,0.01 ,0.31 ,0.03 ,0.02 ,0.07 ,0.04 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.04 ,0.05 ,0.03 ,0.03 ,0.03 ,0.04 ,0.03 ,0.04 ,711.00 ,3274.93 ,265599.45 
29.00 ,714.00 ,E01000745,1.00 ,714.00 ,0.13 ,4.38 ,0.33 ,0.16 ,-0.10 ,0.01 ,0.06 ,0.19 ,0.01 ,-0.05 ,-0.03 ,-0.01 ,0.01 ,0.07 ,-0.03 ,0.04 ,-0.01 ,0.01 ,0.01 ,0.02 ,-0.03 ,0.31 ,0.03 ,0.02 ,0.08 ,0.04 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.04 ,0.05 ,0.04 ,0.03 ,0.03 ,0.04 ,0.03 ,-0.11 ,714.00 ,4669.26 ,473012.39 
30.00 ,715.00 ,E01000746,1.00 ,715.00 ,0.14 ,4.08 ,0.37 ,0.10 ,-0.14 ,0.01 ,0.06 ,0.27 ,0.02 ,-0.06 ,-0.02 ,-0.01 ,0.03 ,0.07 ,-0.02 ,0.05 ,-0.01 ,0.02 ,0.03 ,0.03 ,0.04 ,0.33 ,0.03 ,0.02 ,0.07 ,0.04 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.05 ,0.03 ,0.03 ,0.03 ,0.04 ,0.03 ,0.13 ,715.00 ,1785.41 ,178590.01 
31.00 ,766.00 ,E01000798,1.00 ,766.00 ,0.08 ,3.85 ,0.37 ,0.32 ,-0.13 ,0.00 ,0.08 ,0.25 ,0.02 ,-0.06 ,-0.02 ,-0.01 ,0.01 ,0.07 ,-0.02 ,0.07 ,0.00 ,0.02 ,0.03 ,0.02 ,-0.24 ,0.32 ,0.03 ,0.02 ,0.08 ,0.04 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.04 ,0.05 ,0.03 ,0.03 ,0.03 ,0.04 ,0.03 ,-0.74 ,766.00 ,2078.33 ,133090.02 
32.00 ,768.00 ,E01000800,1.00 ,768.00 ,0.12 ,3.85 ,0.38 ,0.27 ,-0.14 ,0.00 ,0.08 ,0.26 ,0.03 ,-0.07 ,-0.02 ,-0.01 ,0.02 ,0.07 ,-0.01 ,0.07 ,0.00 ,0.02 ,0.03 ,0.03 ,-0.15 ,0.33 ,0.03 ,0.02 ,0.08 ,0.04 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.05 ,0.03 ,0.03 ,0.03 ,0.04 ,0.03 ,-0.44 ,768.00 ,4292.32 ,231392.23 
33.00 ,770.00 ,E01000802,1.00 ,770.00 ,0.17 ,4.18 ,0.33 ,0.33 ,-0.10 ,0.01 ,0.06 ,0.19 ,0.02 ,-0.05 ,-0.02 ,-0.01 ,0.01 ,0.07 ,-0.03 ,0.05 ,0.00 ,0.01 ,0.02 ,0.02 ,-0.16 ,0.33 ,0.03 ,0.02 ,0.08 ,0.04 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.04 ,0.05 ,0.04 ,0.03 ,0.03 ,0.04 ,0.03 ,-0.50 ,770.00 ,2866.54 ,187026.89 
34.00 ,771.00 ,E01000803,1.00 ,771.00 ,0.19 ,4.20 ,0.32 ,0.21 ,-0.10 ,0.01 ,0.04 ,0.18 ,0.02 ,-0.04 ,-0.01 ,-0.01 ,0.00 ,0.07 ,-0.02 ,0.04 ,0.00 ,0.01 ,0.02 ,0.01 ,-0.02 ,0.32 ,0.03 ,0.02 ,0.08 ,0.04 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.04 ,0.05 ,0.04 ,0.03 ,0.03 ,0.04 ,0.03 ,-0.06 ,771.00 ,2932.42 ,257540.14 
35.00 ,773.00 ,E01000805,1.00 ,773.00 ,0.05 ,4.03 ,0.33 ,0.19 ,-0.11 ,0.01 ,0.07 ,0.20 ,0.02 ,-0.05 ,-0.02 ,-0.01 ,0.00 ,0.07 ,-0.02 ,0.05 ,0.00 ,0.02 ,0.02 ,0.01 ,-0.14 ,0.33 ,0.03 ,0.02 ,0.08 ,0.04 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.04 ,0.05 ,0.04 ,0.03 ,0.03 ,0.04 ,0.03 ,-0.43 ,773.00 ,2281.04 ,156331.14 
36.00 ,774.00 ,E01000806,1.00 ,774.00 ,0.08 ,4.04 ,0.35 ,0.04 ,-0.12 ,0.01 ,0.07 ,0.22 ,0.02 ,-0.06 ,-0.02 ,-0.01 ,0.01 ,0.07 ,-0.03 ,0.06 ,0.00 ,0.02 ,0.02 ,0.02 ,0.04 ,0.33 ,0.03 ,0.02 ,0.08 ,0.04 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.04 ,0.05 ,0.04 ,0.03 ,0.03 ,0.04 ,0.03 ,0.12 ,774.00 ,2426.09 ,164000.50 
37.00 ,809.00 ,E01000843,1.00 ,809.00 ,0.30 ,9.71 ,0.46 ,0.60 ,-0.15 ,0.03 ,0.10 ,0.35 ,0.02 ,0.04 ,0.01 ,0.01 ,-0.01 ,0.03 ,0.01 ,0.01 ,-0.03 ,-0.02 ,0.05 ,0.01 ,-0.30 ,0.33 ,0.06 ,0.02 ,0.05 ,0.02 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.04 ,0.02 ,0.03 ,0.04 ,0.03 ,0.01 ,-0.93 ,809.00 ,1755.28 ,84550.57 
