LSOA21CD,cafe_other_pct,school_pct
E01000897,0.002427033,0.018103282
E01000899,0.000463362,0.00081102
E01000904,0.003430477,0.031508457
E01000906,0.013973338,0.029891226
E01000907,0.000427609,0.038727402
E01000912,0.000177429,0.064937967
E01000913,0.000144765,0.013496365
E01000914,0.002309263,0.006651261
E01000918,0.01720756,0.004646303
E01000920,0.000774225,0.042315101
E01000922,0.009016804,0.02895283
E01000928,0.000815291,0.02420453
E01000931,0.003821438,0.047026723
E01000942,0.002637795,0.027725701
E01000946,0.001775427,0.008825225
E01000947,0.003053605,0.020854471
E01000956,0.014192579,0.010737443
E01000959,0.001254748,0.016953643
E01000963,0.008649992,0.068467021
E01001013,0.001272412,0.016427413
E01001015,0.000207708,0.055649457
E01001018,0.0001446,0.021470328
E01001024,0.000583469,0.040359125
E01001027,4.18751E-05,0.021041975
E01001049,0.000323579,0.01291853
E01001064,2.44854E-05,0.003860987
E01001102,6.13782E-05,0.0134336
E01001113,0.000384288,0.04593798
E01001125,0.000186033,0.097973836
E01001140,0.000124991,0.056588678
E01001172,0.000307865,0.001706294
E01001217,5.22054E-05,0.068893182
E01001220,0.000146071,0.017027295
E01001234,0.000571899,0.000297732
E01001248,0.00032114,0.027400444
E01001296,0.000908462,0.132045613
E01001335,8.67846E-05,0.171951356
E01001353,0.024973406,0.123997262
E01001354,0.007171417,0.040333599
E01001377,0.000334301,0.005601612
E01001386,0.00056164,0.002502377
E01001387,0.001074471,0.010691967
E01001407,0.00043764,0.071740307
E01001415,0.002190368,0.012479019
E01001440,0.000781205,0.054207252
E01001465,0.061851788,0.235115629
E01001472,0.000187781,0.009588387
E01001477,0.003992509,0.009349433
E01001507,0.00015504,0.00256789
E01001513,0.003058393,0.062356151
E01001518,0.00553799,0.027756774
E01001523,0.000277211,0.016913187
E01001547,0.001085237,1.11155E-06
E01001552,0.000230042,0.009731002
E01001568,0.000109373,0.000916896
E01001599,0.000302093,0.009267422
E01001614,0.000156556,0.087501142
E01001635,0.000725656,0.00851603
E01001641,0.029115147,0.016287642
E01001642,0.004825257,0.016406588
E01001644,0.001522428,0.026404296
E01001652,0.000222926,0.013918687
E01001658,0.00033791,0.011033713
E01001665,0.000433578,0.021371289
E01001682,0.000264943,0.0033912
E01001729,0.006106168,5.51352E-05
E01001731,0.000799857,0.087143332
E01001734,0.001156409,0.01333536
E01001737,0.001297257,0.018421118
E01001739,0.000326017,0.039137533
E01001740,0.002253235,0.0926025
E01001747,0.013819198,0.079634077
E01001750,0.001017236,0.019369569
E01001753,0.001982915,0.022434788
E01001758,0.000115993,0.026439021
E01001761,0.00089786,0.009031409
E01001762,0.026358126,0.026042929
E01001770,0.000454341,0.030007394
E01001774,0.000289167,0.046216683
E01001775,0.000661144,0.067293165
E01001780,0.00126084,0.060585328
E01001781,0.001759198,0.042788827
E01001785,0.002522797,0.012398224
E01001793,0.000651186,0.002793537
E01001805,0.000295821,0.003295725
E01001806,0.000439363,0.014737443
E01001816,0.000432143,0.031673077
E01001821,0.005640085,0.00104969
E01001829,2.79313E-07,0.024345925
E01001831,0.003206533,0.006316072
E01001836,0.00086582,0.044784838
E01001841,0.000433665,0.056065743
E01001849,0.00116534,0.010173837
E01001865,0.00199414,0.045264117
E01001866,0.00020144,0.040806067
E01001875,0.000184645,0.016241929
E01001877,7.30828E-05,0.001496249
E01001880,0.020114691,0.096470548
E01001881,0.001608983,0.032671917
E01001883,0.000261751,0.008691017
E01001884,0.000634785,0.055714138
E01001894,0.008476272,0.023738872
E01001898,0.009701829,0.049664315
E01001899,0.007017222,0.105189933
E01001909,0.001269787,0.1082955
E01001911,0.001885066,0.036281036
E01001914,0.012275618,0.007336567
E01001915,0.006180832,0.020607614
E01001920,0.001508412,0.001627266
E01001925,0.000397053,0.037201688
E01001928,0.000415589,0.082539287
E01001929,0.00072021,0.110887471
E01001933,0.000217257,0.020101288
E01001940,0.001726473,0.000166371
E01001941,0.016358697,0.002205719
E01001948,0.000205729,0.041521234
E01001951,0.00220443,0.042381028
