LSOA21CD,park_pct
E01033935,0.033611329
E01033936,0.009193273
E01033946,0.114543143
E01034030,0.063480411
E01034042,0.215493837
E01034043,0.113123289
E01034046,0.088854547
E01034149,0.187841573
E01034150,0.060718593
E01034152,0.007466353
E01034156,0.09502096
E01034175,0.494485303
E01034179,0.096963458
E01034180,0.092638514
E01034188,0.100694024
E01034199,0.020102648
E01034205,0.168431766
E01034206,0.030449469
E01034213,0.526812978
E01034220,0.007521466
E01034222,0.469595838
E01034390,0.292010308
E01034391,0.089456852
E01034474,0.229161716
E01034485,0.00100976
E01034486,0.016299473
E01034589,0.043819962
E01000008,0.191489663
E01000012,0.032965256
E01000014,0.676159686
E01000015,0.170409149
E01000016,0.012203219
E01000018,0.066169293
E01000019,0.033219857
E01000021,0.013068749
E01000024,0.037592277
E01000027,0.010194038
E01000030,0.077470506
E01000031,0.00058129
E01000032,0.174930405
E01000033,0.002592641
E01000034,0.504271529
E01000038,0.003649748
E01000044,0.012094014
E01000045,0.030343489
E01000046,0.091260294
E01000050,0.04128111
E01000055,0.024484364
E01000056,0.216845285
E01000057,0.006133472
E01000058,0.063264615
E01000059,0.283985446
E01000060,0.418377059
E01000061,0.551345935
E01000062,0.022387712
E01000063,0.005312967
E01000065,0.019205896
E01000066,0.402176577
E01000067,0.007584074
E01000068,0.415164643
E01000069,0.098040712
E01000070,0.1631304
E01000071,0.154993037
E01000072,0.428195636
E01000073,0.153343951
E01000074,0.173062319
E01000077,0.135468398
E01000078,0.002613619
E01000079,0.774096721
E01000080,0.59759946
E01000081,0.00044398
E01000082,0.017171667
E01000086,0.029136672
E01000087,0.023654575
E01000088,0.256337536
E01000089,0.281378689
E01000091,0.074490089
E01000093,0.125466819
E01000094,0.122751743
E01000096,0.14701395
E01000097,0.00368128
E01000098,0.017820971
E01000099,0.004442876
E01000100,0.112303215
E01000103,0.683302387
E01000107,0.572131795
E01000112,0.001218485
E01000115,0.050010896
E01000116,0.180308704
E01000117,0.020049876
E01000118,0.221930794
E01000119,0.150962971
E01000120,0.056410876
E01000122,0.092218645
E01000124,0.175949256
E01000126,0.118754388
E01000127,0.211555962
E01000128,0.274069598
E01000129,0.085147488
E01000130,0.089881639
E01000132,0.208369314
E01000133,0.115023359
E01000134,0.325329206
E01000135,0.12740089
E01000136,0.505544721
E01000137,0.039326591
E01000138,0.032121646
E01000139,0.141259302
E01000142,0.047874606
E01000146,0.015765192
E01000147,0.062178232
E01000152,0.10952302
E01000153,0.255788215
E01000157,0.005000978
E01000158,0.137961052
E01000159,0.307782469
E01000161,0.299732976
E01000162,0.24701635
E01000163,0.358425515
E01000164,0.211831503
E01000166,0.227664788
E01000167,0.368888216
E01000168,0.034745169
E01000170,0.029357462
E01000171,0.127575152
E01000172,0.389254899
E01000173,0.624093758
E01000174,0.159245557
E01000176,0.065756081
E01000177,0.031411065
E01000178,0.358934538
E01000180,0.005411051
E01000183,0.032571607
E01000185,0.250338948
E01000188,0.141010358
E01000192,0.053735811
E01000194,0.152912152
E01000196,0.359323467
E01000197,0.100907703
E01000198,0.136262236
E01000199,0.09588298
E01000201,0.139437637
E01000203,0.244800285
E01000204,0.062746262
E01000205,0.333371263
E01000206,0.328504026
E01000207,0.275884368
E01000208,0.073239358
E01000210,0.071382757
