,Unnamed: 0_x,Conversion_2011_2018_pct_x,New_build_2011_2018_pct_x,house_change_pct_x,all_household_dependent_children_change_pct_x,all_household_non_dependent_children_change_pct_x,professional_occupations_change_pct_x,other_higer_occupation_change_pct_x,avg_churn_x,Elementary_occupations_change_pct_x,Resident_in_UK_4_and_Less_change_pct_x,all_usual_residents_change_pct_x,professional_occupations_2011_pct_x,All_usual_residents_2011_x,cluste_robust_x,LSOA21CD,classification_robust_x,classification_cluster_robust_x,LSOA21NM_x,borough_name_x,space_x,Unnamed: 0_y,Conversion_2011_2018_pct_y,New_build_2011_2018_pct_y,house_change_pct_y,all_household_dependent_children_change_pct_y,all_household_non_dependent_children_change_pct_y,household_no_children_change_pct,professional_occupations_change_pct_y,other_higer_occupation_change_pct_y,avg_churn_y,Elementary_occupations_change_pct_y,Resident_in_UK_4_and_Less_change_pct_y,all_usual_residents_change_pct_y,professional_occupations_2011_pct_y,All_usual_residents_2011_y,cluste_robust_y,classification_robust_y,classification_cluster_robust_y,LSOA21NM_y,borough_name_y,space_y
336,534,-0.102497143,-0.018735257,-0.043144505,0.135900266,0.545768912,0.202036194,-0.309125365,0.272973945,-0.025113615,0.049847039,-0.197050127,-0.392524666,0.460859068,0,E01003209,gen,cluster1,Lewisham 005B,Lewisham,inner,534,-0.102497143,-0.018735257,-0.043144505,0.135900266,0.545768912,0.465053838,0.202036194,-0.309125365,0.272973945,-0.025113615,0.049847039,-0.197050127,-0.392524666,0.460859068,3,gen,cluster4,Lewisham 005B,Lewisham,inner
337,535,0.453228115,0.292686361,-0.080330892,0.418334869,0.027380442,-0.14984084,-0.154544322,0.34280272,-0.154704963,-0.403258217,-0.027214076,0.277719877,0.138510374,3,E01003210,gen,cluster4,Lewisham 005C,Lewisham,inner,535,0.453228115,0.292686361,-0.080330892,0.418334869,0.027380442,0.150617379,-0.14984084,-0.154544322,0.34280272,-0.154704963,-0.403258217,-0.027214076,0.277719877,0.138510374,0,gen,cluster1,Lewisham 005C,Lewisham,inner
338,536,0.125149641,-0.017790517,-0.210669614,0.218061821,-0.066714314,-0.259320244,0.038900704,0.272973945,0.106061895,-0.170719625,-0.06876962,0.476152717,-0.061475702,3,E01003211,gen,cluster4,Lewisham 008B,Lewisham,inner,536,0.125149641,-0.017790517,-0.210669614,0.218061821,-0.066714314,0.462090253,-0.259320244,0.038900704,0.272973945,0.106061895,-0.170719625,-0.06876962,0.476152717,-0.061475702,0,gen,cluster1,Lewisham 008B,Lewisham,inner
339,537,-0.049960418,0.008322236,0.282400116,0.42923641,-0.090218383,0.13132565,-0.398301442,0.203779865,-0.039379091,-0.199051753,-0.019916742,0.066199918,0.420433203,3,E01003212,gen,cluster4,Lewisham 005D,Lewisham,inner,537,-0.049960418,0.008322236,0.282400116,0.42923641,-0.090218383,0.331662518,0.13132565,-0.398301442,0.203779865,-0.039379091,-0.199051753,-0.019916742,0.066199918,0.420433203,0,gen,cluster1,Lewisham 005D,Lewisham,inner
340,538,-0.246034287,0.104817702,-0.048926044,-0.404331387,0.196193565,0.167844883,-0.010230889,0.135219902,-0.520598786,-0.447644429,-0.047400542,-0.039635936,0.168847122,0,E01003214,gen,cluster1,Lewisham 008D,Lewisham,inner,538,-0.246034287,0.104817702,-0.048926044,-0.404331387,0.196193565,0.186237913,0.167844883,-0.010230889,0.135219902,-0.520598786,-0.447644429,-0.047400542,-0.039635936,0.168847122,3,gen,cluster4,Lewisham 008D,Lewisham,inner
341,539,0.070394019,-0.011200938,0.294452689,-0.245520609,0.463809923,0.164120406,0.233251728,-0.066661115,0.165971006,-0.153611686,-0.339130125,-0.161825981,0.292805006,0,E01003216,gen,cluster1,Lewisham 025A,Lewisham,inner,539,0.070394019,-0.011200938,0.294452689,-0.245520609,0.463809923,0.054137504,0.164120406,0.233251728,-0.066661115,0.165971006,-0.153611686,-0.339130125,-0.161825981,0.292805006,3,gen,cluster4,Lewisham 025A,Lewisham,inner
342,543,0.664524969,0.032891331,0.182151384,0.276871085,-0.185558045,-0.404318831,0.007504278,0.203779865,0.028933483,0.094962893,0.141870362,-0.143679026,0.402371924,3,E01003221,gen,cluster4,Lewisham 025C,Lewisham,inner,543,0.664524969,0.032891331,0.182151384,0.276871085,-0.185558045,-0.351759769,-0.404318831,0.007504278,0.203779865,0.028933483,0.094962893,0.141870362,-0.143679026,0.402371924,0,gen,cluster1,Lewisham 025C,Lewisham,inner
343,544,0.059026008,-0.017790517,0.435845084,-0.359550139,0.285222389,-0.04384246,0.323869711,-0.132690465,0.58783706,-0.092141508,-0.148093991,-0.145318665,0.009860856,0,E01003222,gen,cluster1,Lewisham 022D,Lewisham,inner,544,0.059026008,-0.017790517,0.435845084,-0.359550139,0.285222389,-0.166200967,-0.04384246,0.323869711,-0.132690465,0.58783706,-0.092141508,-0.148093991,-0.145318665,0.009860856,3,gen,cluster4,Lewisham 022D,Lewisham,inner
344,547,0.426376976,0.018403419,0.292154402,0.410173186,-0.354606878,-0.268324217,-0.142312351,0.135219902,-0.185425159,0.082623139,0.056496909,0.25517774,0.133876582,3,E01003226,gen,cluster4,Lewisham 019A,Lewisham,inner,547,0.426376976,0.018403419,0.292154402,0.410173186,-0.354606878,-0.065814884,-0.268324217,-0.142312351,0.135219902,-0.185425159,0.082623139,0.056496909,0.25517774,0.133876582,0,gen,cluster1,Lewisham 019A,Lewisham,inner
345,550,0.146112135,-0.013079469,0.041248339,0.185890272,0.165841118,0.105446583,-0.012958689,-0.066661115,-0.050037548,-0.146311077,0.004920461,-0.03736147,0.365341832,3,E01003230,gen,cluster4,Lewisham 019E,Lewisham,inner,550,0.146112135,-0.013079469,0.041248339,0.185890272,0.165841118,-0.136895006,0.105446583,-0.012958689,-0.066661115,-0.050037548,-0.146311077,0.004920461,-0.03736147,0.365341832,0,gen,cluster1,Lewisham 019E,Lewisham,inner
346,551,-0.062847811,-0.002788983,0.102347087,-0.019892341,-0.107346495,0.05461307,0.103132027,0.067293476,0.15842825,-0.067206129,-0.137364914,0.121300326,-0.018510614,3,E01003231,gen,cluster4,Lewisham 015B,Lewisham,inner,551,-0.062847811,-0.002788983,0.102347087,-0.019892341,-0.107346495,0.060614098,0.05461307,0.103132027,0.067293476,0.15842825,-0.067206129,-0.137364914,0.121300326,-0.018510614,0,gen,cluster1,Lewisham 015B,Lewisham,inner
347,554,-0.292753698,-0.018735257,-0.378813148,-0.729977361,0.723588147,-0.066403835,0.489064799,0.272973945,0.989085132,0.125040379,0.247608325,-0.609677898,0.006569185,0,E01003244,gen,cluster1,Lewisham 001A,Lewisham,inner,554,-0.292753698,-0.018735257,-0.378813148,-0.729977361,0.723588147,0.32688963,-0.066403835,0.489064799,0.272973945,0.989085132,0.125040379,0.247608325,-0.609677898,0.006569185,3,gen,cluster4,Lewisham 001A,Lewisham,inner
348,556,0.419455471,0.008322236,-0.132570099,-0.19848802,0.129069847,-0.172922482,0.362365922,0.203779865,-0.372690061,0.118382129,-0.076001797,-0.285290871,-0.193566694,0,E01003253,gen,cluster1,Lewisham 002E,Lewisham,inner,556,0.419455471,0.008322236,-0.132570099,-0.19848802,0.129069847,0.127654435,-0.172922482,0.362365922,0.203779865,-0.372690061,0.118382129,-0.076001797,-0.285290871,-0.193566694,3,gen,cluster4,Lewisham 002E,Lewisham,inner
349,558,0.732103694,0.011999585,-0.242875146,0.35249392,0.081148414,-0.449892085,-0.086538816,0.203779865,-0.11325638,-0.014479914,0.056563369,0.436091637,0.306407791,3,E01003255,gen,cluster4,Lewisham 021B,Lewisham,inner,558,0.732103694,0.011999585,-0.242875146,0.35249392,0.081148414,0.144464177,-0.449892085,-0.086538816,0.203779865,-0.11325638,-0.014479914,0.056563369,0.436091637,0.306407791,0,gen,cluster1,Lewisham 021B,Lewisham,inner
350,560,-0.292753698,-0.018735257,-0.107236529,-0.50049237,1.796007376,-0.144954008,0.141443354,-0.198088647,0.845826431,-0.200290061,0.010168746,-0.407445941,-0.131625472,0,E01003258,gen,cluster1,Lewisham 028C,Lewisham,inner,560,-0.292753698,-0.018735257,-0.107236529,-0.50049237,1.796007376,-0.054913951,-0.144954008,0.141443354,-0.198088647,0.845826431,-0.200290061,0.010168746,-0.407445941,-0.131625472,3,gen,cluster4,Lewisham 028C,Lewisham,inner
351,563,-0.292753698,-0.018735257,-0.111244897,-0.202431496,0.351539087,-0.037899744,0.074420874,0.0,-0.046488601,-0.037796807,0.166394917,0.240362434,-0.265355591,0,E01003262,gen,cluster1,Lewisham 021E,Lewisham,inner,563,-0.292753698,-0.018735257,-0.111244897,-0.202431496,0.351539087,0.096264744,-0.037899744,0.074420874,0.0,-0.046488601,-0.037796807,0.166394917,0.240362434,-0.265355591,3,gen,cluster4,Lewisham 021E,Lewisham,inner
352,565,0.368544623,0.011081479,0.216356714,0.195431983,0.242171307,0.152873973,0.240110568,0.0,-0.481424796,-0.428722972,-0.0273789,0.173658042,0.407519954,3,E01003272,gen,cluster4,Lewisham 014A,Lewisham,inner,565,0.368544623,0.011081479,0.216356714,0.195431983,0.242171307,0.088101853,0.152873973,0.240110568,0.0,-0.481424796,-0.428722972,-0.0273789,0.173658042,0.407519954,0,gen,cluster1,Lewisham 014A,Lewisham,inner
353,566,-0.292753698,-0.018735257,0.624031329,0.183291343,0.905886005,0.313171749,0.762780443,-0.198088647,-0.52656719,-0.836830384,-0.840684256,-0.051830849,0.45167818,0,E01003273,gen,cluster1,Lewisham 011A,Lewisham,inner,566,-0.292753698,-0.018735257,0.624031329,0.183291343,0.905886005,-0.046046981,0.313171749,0.762780443,-0.198088647,-0.52656719,-0.836830384,-0.840684256,-0.051830849,0.45167818,3,gen,cluster4,Lewisham 011A,Lewisham,inner
354,568,-0.261410713,-0.018735257,0.5001019,-0.308004375,0.899971046,-0.119233418,0.627133889,-0.262856267,0.200104706,-0.153611686,-0.093077822,-0.288940799,0.116578618,0,E01003275,gen,cluster1,Lewisham 014C,Lewisham,inner,568,-0.261410713,-0.018735257,0.5001019,-0.308004375,0.899971046,-0.07079323,-0.119233418,0.627133889,-0.262856267,0.200104706,-0.153611686,-0.093077822,-0.288940799,0.116578618,3,gen,cluster4,Lewisham 014C,Lewisham,inner
355,570,-0.102497143,-0.011200938,-0.087344511,-0.292685127,0.250744718,0.031124702,-0.130076389,0.135219902,0.211552159,0.058924451,-0.112566945,0.285556196,0.101687128,3,E01003277,gen,cluster4,Lewisham 011B,Lewisham,inner,570,-0.102497143,-0.011200938,-0.087344511,-0.292685127,0.250744718,0.407181322,0.031124702,-0.130076389,0.135219902,0.211552159,0.058924451,-0.112566945,0.285556196,0.101687128,0,gen,cluster1,Lewisham 011B,Lewisham,inner
