,Conversion_2011_2018_pct,New_build_2011_2018_pct,house_change_pct,all_household_dependent_children_change_pct,all_household_non_dependent_children_change_pct,professional_occupations_change_pct,other_higer_occupation_change_pct,avg_churn,Elementary_occupations_change_pct,Resident_in_UK_4_and_Less_change_pct,all_usual_residents_change_pct,professional_occupations_2011_pct,All_usual_residents_2011,cluste_robust,LSOA21CD,classification_robust,classification_cluster_robust,LSOA21NM,borough_name,space
370,-0.03723401,-0.016846622,-0.308717675,-0.154024171,0.056607503,-0.255738089,-0.830805285,-0.198088647,0.032567581,0.262703706,-0.719339267,0.008084675,0.345130253,3,E01002812,gen,cluster4,Kensington and Chelsea 013A,Kensington and Chelsea,inner
371,0.345344378,-0.018735257,0.14384449,0.453845309,0.884228981,-0.100311065,-0.711013939,-0.066661115,0.014435784,-0.278156711,-0.515661073,0.17300735,0.162983791,2,E01002813,potential gen,cluster3,Kensington and Chelsea 011A,Kensington and Chelsea,inner
372,0.103657117,-0.01590357,0.078443719,-0.048729424,-0.00320697,-0.382182377,-0.233275003,-0.132690465,-0.010786201,0.183235231,-0.492288052,-0.013333042,-0.031486583,2,E01002817,potential gen,cluster3,Kensington and Chelsea 011D,Kensington and Chelsea,inner
373,0.548394043,0.122188686,0.037993272,0.601938091,-0.11819846,-0.257527787,-0.70434121,-0.326993932,0.021676895,-0.849554297,-1.176560378,-0.051830849,-0.040095935,2,E01002819,potential gen,cluster3,Kensington and Chelsea 012B,Kensington and Chelsea,inner
374,-0.012255842,-0.014961362,-0.00114584,-0.047908359,-0.285286093,-0.015882949,-0.871920277,-0.326993932,-0.064194617,-0.781957008,-0.831859847,0.052785832,-0.20653521,2,E01002821,potential gen,cluster3,Kensington and Chelsea 014A,Kensington and Chelsea,inner
375,-0.102497143,0.064742715,-0.120861677,0.225920277,0.209760481,0.005721853,-0.662930731,-0.132690465,-0.232587922,-0.342592853,-0.621920508,0.052785832,-0.110920168,2,E01002824,potential gen,cluster3,Kensington and Chelsea 008A,Kensington and Chelsea,inner
376,0.509038146,-0.018735257,-0.293545946,0.263643274,0.276575389,-0.194774741,-1.052617993,0.067293476,0.094939124,-0.816299933,-0.410680251,0.009549519,-0.201556863,3,E01002834,gen,cluster4,Kensington and Chelsea 013B,Kensington and Chelsea,inner
377,0.304714226,-0.017790517,-0.362870528,0.406549758,-0.0933394,0.021312186,-1.042114784,0.067293476,0.076478514,-0.160931055,-0.197712261,0.182089757,-0.241052148,3,E01002836,gen,cluster4,Kensington and Chelsea 016D,Kensington and Chelsea,inner
378,0.770243402,-0.002788983,-0.076180963,0.53760116,0.10255299,0.330509756,-1.065737915,-0.132690465,-0.120203225,-0.994359301,-0.771605909,0.039240378,-0.271145286,3,E01002837,gen,cluster4,Kensington and Chelsea 016E,Kensington and Chelsea,inner
379,0.114470492,0,-0.199771379,0.183291343,0.10751039,-0.097187196,-0.617436365,0.067293476,0.335821241,0.321536522,-0.345458687,-0.140405731,-0.262454505,3,E01002841,gen,cluster4,Kensington and Chelsea 021B,Kensington and Chelsea,inner
380,-0.116049868,-0.006519278,-0.099249966,0.23291636,0.087721019,-0.17625769,-0.561131065,-0.198088647,-0.099316201,-0.409935844,-0.509844852,-0.094604238,-0.260518132,2,E01002844,potential gen,cluster3,Kensington and Chelsea 019A,Kensington and Chelsea,inner
381,0.224927154,-0.018735257,-0.388199146,0.223299363,0.051719493,0.186288205,-0.546365568,0.135219902,-0.161558806,0.38032848,-0.668086326,0.145402438,-0.055083238,3,E01002848,gen,cluster4,Kensington and Chelsea 015C,Kensington and Chelsea,inner
382,-0.102497143,-0.017790517,-0.353392402,0.618838294,0.054977419,-1.037899577,-0.998722506,0.067293476,-0.14439513,-0.163375037,-0.034088511,0.277115297,-0.104669844,2,E01002849,potential gen,cluster3,Kensington and Chelsea 017B,Kensington and Chelsea,inner
383,0.559035331,-0.018735257,-0.062280091,0.049308275,0.040340311,-0.203290272,-0.680304643,-0.066661115,-0.394817884,0.063452889,-0.12268358,0.041387983,-0.180517262,3,E01002850,gen,cluster4,Kensington and Chelsea 013D,Kensington and Chelsea,inner
384,-0.157748086,1.042708752,-0.350247324,-0.57252495,2.317703675,0.018493207,0.559435277,-0.066661115,-0.347168052,0.090481528,0.426380677,-0.384636256,-0.511812372,0,E01002853,gen,cluster1,Kensington and Chelsea 001B,Kensington and Chelsea,inner
385,-0.186436568,-0.018735257,-0.354442341,-0.463002065,0.109164346,-0.337211777,0.205826641,-0.390502256,-0.123670835,0.313198163,-0.016581619,-0.785675485,-0.280757917,0,E01002857,gen,cluster1,Kensington and Chelsea 001E,Kensington and Chelsea,inner
386,-0.261410713,-0.018735257,-0.386585537,-0.38947785,-0.06514133,0.035304638,-0.749679969,-0.515633358,0.273192409,-0.007520675,-1.077840195,-0.232593344,-0.085810856,2,E01002862,potential gen,cluster3,Kensington and Chelsea 014E,Kensington and Chelsea,inner
387,-0.201054766,0.241570937,0.043685575,0.455672612,0.634803922,-0.031987441,-0.164055301,-0.262856267,0.021676895,0.376237512,-0.085993846,-0.268990007,-0.130594905,2,E01002864,potential gen,cluster3,Kensington and Chelsea 009A,Kensington and Chelsea,inner
388,-0.186436568,-0.012139784,0.204716695,-0.217376853,0.498235934,0.080310327,-0.310478313,-0.262856267,-0.188819132,-0.909325157,0.03764411,-0.347805726,-0.247886442,2,E01002865,potential gen,cluster3,Kensington and Chelsea 011E,Kensington and Chelsea,inner
389,0.353173448,-0.014961362,-0.332557528,-0.109827804,0.342752761,-0.01442998,-0.427971992,0.067293476,-0.13405042,0.087116147,-0.477801652,0.098835196,0.426913027,3,E01002867,gen,cluster4,Kensington and Chelsea 009C,Kensington and Chelsea,inner
390,0.059026008,-0.001858491,0.220404258,0.049308275,0.086076749,0.009994699,-0.677632501,-0.262856267,0.032567581,0.335040166,-0.40968944,0.145402438,0.068799499,2,E01002871,potential gen,cluster3,Kensington and Chelsea 007B,Kensington and Chelsea,inner
391,0.070394019,-0.017790517,0.006962374,0.131616144,-0.049369977,-0.074023209,-0.797591947,-0.132690465,0.427581218,-0.517751806,-0.296382236,-0.000737336,-0.24300714,2,E01002875,potential gen,cluster3,Kensington and Chelsea 007E,Kensington and Chelsea,inner
392,-0.012255842,-0.001858491,0.034323882,0.073754819,0.071311889,-0.372257542,-0.717684868,-0.066661115,0.165971006,0.411859929,-0.634497306,0.152024469,0.245149628,2,E01002883,potential gen,cluster3,Kensington and Chelsea 006B,Kensington and Chelsea,inner
393,0.070394019,-0.018735257,-0.350771011,0.393887112,0.069675081,-0.11289154,-0.44549133,0.135219902,-0.301906534,0.001732899,-0.448146145,0.446882559,-0.091065765,3,E01002885,gen,cluster4,Kensington and Chelsea 006D,Kensington and Chelsea,inner
